File Name,Date Created,Bioregions Extract Used,MarESA Extract Used,Resistance Aggregation Used,Resilience Aggregation Used
OffshoreSensAgg_20200303_Bioreg20190219_MarESA20200303.csv,20200303.0,Bioreg20190219,MarESA20200303,Not Applicable,Not Applicable
OffshoreResAgg_20200303_Bioreg20190219_MarESA20200303.csv,20200303.0,Bioreg20190219,MarESA20200303,Not Applicable,Not Applicable
OffshoreResilAgg_20200303_Bioreg20190219_MarESA20200303.csv,20200303.0,Bioreg20190219,MarESA20200303,Not Applicable,Not Applicable
BH3_OffshoreSensitivityCalculation_20200303_ResAggMarESA20200303_ResilAggMarESA20200303.csv,20200303.0,Not Applicable,Not Applicable,ResAggMarESA20200303,ResilAggMarESA20200303
FeatureLevelAggregation_20200303.csv,20200303.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FeatureLevelAggregationDepth_20200303.csv,20200303.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OffshoreSensAgg_20200306_Bioreg20190219_MarESA20200306.csv,20200306.0,Bioreg20190219,MarESA20200306,Not Applicable,Not Applicable
OffshoreResAgg_20200306_Bioreg20190219_MarESA20200306.csv,20200306.0,Bioreg20190219,MarESA20200306,Not Applicable,Not Applicable
OffshoreResilAgg_20200306_Bioreg20190219_MarESA20200306.csv,20200306.0,Bioreg20190219,MarESA20200306,Not Applicable,Not Applicable
BH3_OffshoreSensitivityCalculation_20200306_ResAggMarESA20200306_ResilAggMarESA20200306.csv,20200306.0,Not Applicable,Not Applicable,ResAggMarESA20200306,ResilAggMarESA20200306
FeatureLevelAggregation_20200306.csv,20200306.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FeatureLevelAggregationDepth_20200306.csv,20200306.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OffshoreSensAgg_20200306_Bioreg20190219_MarESA20200306.csv,20200306.0,Bioreg20190219,MarESA20200306,Not Applicable,Not Applicable
OffshoreResAgg_20200306_Bioreg20190219_MarESA20200306.csv,20200306.0,Bioreg20190219,MarESA20200306,Not Applicable,Not Applicable
OffshoreResilAgg_20200306_Bioreg20190219_MarESA20200306.csv,20200306.0,Bioreg20190219,MarESA20200306,Not Applicable,Not Applicable
BH3_OffshoreSensitivityCalculation_20200306_ResAggMarESA20200306_ResilAggMarESA20200306.csv,20200306.0,Not Applicable,Not Applicable,ResAggMarESA20200306,ResilAggMarESA20200306
FeatureLevelAggregation_20200306.csv,20200306.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FeatureLevelAggregationDepth_20200306.csv,20200306.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OffshoreSensAgg_20200306_Bioreg20190219_MarESA20200306.csv,20200306.0,Bioreg20190219,MarESA20200306,Not Applicable,Not Applicable
OffshoreResAgg_20200306_Bioreg20190219_MarESA20200306.csv,20200306.0,Bioreg20190219,MarESA20200306,Not Applicable,Not Applicable
OffshoreResilAgg_20200306_Bioreg20190219_MarESA20200306.csv,20200306.0,Bioreg20190219,MarESA20200306,Not Applicable,Not Applicable
BH3_OffshoreSensitivityCalculation_20200306_ResAggMarESA20200306_ResilAggMarESA20200306.csv,20200306.0,Not Applicable,Not Applicable,ResAggMarESA20200306,ResilAggMarESA20200306
FeatureLevelAggregation_20200306.csv,20200306.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FeatureLevelAggregationDepth_20200306.csv,20200306.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FeatureLevelAggregation_20200429.csv,20200429.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FeatureLevelAggregationDepth_20200429.csv,20200429.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OffshoreSensAgg_20200608_Bioreg20200518_MarESA20200608.csv,20200608.0,Bioreg20200518,MarESA20200608,Not Applicable,Not Applicable
OffshoreResAgg_20200608_Bioreg20200518_MarESA20200608.csv,20200608.0,Bioreg20200518,MarESA20200608,Not Applicable,Not Applicable
OffshoreResilAgg_20200608_Bioreg20200518_MarESA20200608.csv,20200608.0,Bioreg20200518,MarESA20200608,Not Applicable,Not Applicable
BH3_OffshoreSensitivityCalculation_20200608_ResAggMarESA20200608_ResilAggMarESA20200608.csv,20200608.0,Not Applicable,Not Applicable,ResAggMarESA20200608,ResilAggMarESA20200608
FeatureLevelAggregation_20200608.csv,20200608.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FeatureLevelAggregationDepth_20200608.csv,20200608.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OffshoreSensAgg_20200608_Bioreg20200518_MarESA20200608.csv,20200608.0,Bioreg20200518,MarESA20200608,Not Applicable,Not Applicable
OffshoreResAgg_20200608_Bioreg20200518_MarESA20200608.csv,20200608.0,Bioreg20200518,MarESA20200608,Not Applicable,Not Applicable
OffshoreResilAgg_20200608_Bioreg20200518_MarESA20200608.csv,20200608.0,Bioreg20200518,MarESA20200608,Not Applicable,Not Applicable
BH3_OffshoreSensitivityCalculation_20200608_ResAggMarESA20200608_ResilAggMarESA20200608.csv,20200608.0,Not Applicable,Not Applicable,ResAggMarESA20200608,ResilAggMarESA20200608
FeatureLevelAggregation_20200608.csv,20200608.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FeatureLevelAggregationDepth_20200608.csv,20200608.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OffshoreSensAgg_20200610_Bioreg20200518_MarESA20200610.csv,20200610.0,Bioreg20200518,MarESA20200610,Not Applicable,Not Applicable
OffshoreResAgg_20200610_Bioreg20200518_MarESA20200610.csv,20200610.0,Bioreg20200518,MarESA20200610,Not Applicable,Not Applicable
OffshoreResilAgg_20200610_Bioreg20200518_MarESA20200610.csv,20200610.0,Bioreg20200518,MarESA20200610,Not Applicable,Not Applicable
BH3_OffshoreSensitivityCalculation_20200610_ResAggMarESA20200610_ResilAggMarESA20200610.csv,20200610.0,Not Applicable,Not Applicable,ResAggMarESA20200610,ResilAggMarESA20200610
FeatureLevelAggregation_20200610.csv,20200610.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FeatureLevelAggregationDepth_20200610.csv,20200610.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OffshoreSensAgg_20200701_Bioreg20200518_MarESA20200701.csv,20200701.0,Bioreg20200518,MarESA20200701,Not Applicable,Not Applicable
OffshoreResAgg_20200701_Bioreg20200518_MarESA20200701.csv,20200701.0,Bioreg20200518,MarESA20200701,Not Applicable,Not Applicable
OffshoreResilAgg_20200701_Bioreg20200518_MarESA20200701.csv,20200701.0,Bioreg20200518,MarESA20200701,Not Applicable,Not Applicable
BH3_OffshoreSensitivityCalculation_20200701_ResAggMarESA20200701_ResilAggMarESA20200701.csv,20200701.0,Not Applicable,Not Applicable,ResAggMarESA20200701,ResilAggMarESA20200701
FeatureLevelAggregation_20200610.csv,20200610.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
README.txt,,,,,
OffshoreSensAgg_20201109_Bioreg20201105_MarESA20201109.csv,20201109.0,Bioreg20201105,MarESA20201109,Not Applicable,Not Applicable
OffshoreResAgg_20201109_Bioreg20201105_MarESA20201109.csv,20201109.0,Bioreg20201105,MarESA20201109,Not Applicable,Not Applicable
OffshoreResilAgg_20201109_Bioreg20201105_MarESA20201109.csv,20201109.0,Bioreg20201105,MarESA20201109,Not Applicable,Not Applicable
BH3_OffshoreSensitivityCalculation_20201109_ResAggMarESA20201109_ResilAggMarESA20201109.csv,20201109.0,Not Applicable,Not Applicable,ResAggMarESA20201109,ResilAggMarESA20201109
OffshoreSensAgg_20210113_Bioreg20201105_MarESA20201112.csv,20210113.0,Bioreg20201105,MarESA20201112,Not Applicable,Not Applicable
OffshoreResAgg_20210113_Bioreg20201105_MarESA20201112.csv,20210113.0,Bioreg20201105,MarESA20201112,Not Applicable,Not Applicable
OffshoreResilAgg_20210113_Bioreg20201105_MarESA20201112.csv,20210113.0,Bioreg20201105,MarESA20201112,Not Applicable,Not Applicable
